testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #filterBtn, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #filterBtn, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #filterBtn, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooterIsDisplayed, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooterIsDisplayed, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyAllLinksUnderQuickLinksFooterIsDisplayed, DOM Id: #collapse_1>ul>li, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyApplifashionIconIsDisplayed, DOM Id: #A____8, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyApplifashionIconIsDisplayed, DOM Id: #A____8, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyApplifashionIconIsDisplayed, DOM Id: #A____8, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyFilterIconIsNotDisplayed, DOM Id: #A____8, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Fail
testTask: 1, Test Name: verifyFilterIconIsNotDisplayed, DOM Id: #ti-filter, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifyFilterIconIsNotDisplayed, DOM Id: #ti-filter, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Pass
testTask: 1, Test Name: verifyItemsInCartIconIsDisplayed, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyItemsInCartIconIsDisplayed, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyItemsInCartIconIsDisplayed, DOM Id: #STRONG____50, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyListViewIconIsDisplayed, DOM Id: #I__tiviewlist__205, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyListViewIconIsDisplayed, DOM Id: #I__tiviewlist__205, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyListViewIconIsDisplayed, DOM Id: #I__tiviewlist__205, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Pass
testTask: 1, Test Name: verifySearchTextFieldIsDisplayed, DOM Id: #INPUTtext____42, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Pass
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyWishListIconIsDisplayed, DOM Id: #A__wishlist__52, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #filterBtn, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #ti-filter, Browser: CHROME, Viewport: 768X700, Device: TABLET, Status: Fail
testTask: 1, Test Name: verifyFilteringBasedOnProductColor, DOM Id: #ti-filter, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status: Fail
